date,distance_from_estuary_km,ecoli_max,enterococcus_max,ecoli_exceed,enterococcus_exceed,any_exceed
2025-07-30,0.5,134.0,5.0,False,False,False
2025-07-30,1.0,144.0,0.0,False,False,False
2025-08-13,0.0,2098.0,2080.0,True,True,True
2025-08-13,0.5,3609.0,433.0,True,True,True
2025-08-13,1.0,1223.0,589.0,True,True,True
2025-08-20,0.0,30.0,5.0,False,False,False
2025-08-20,0.5,10.0,21.0,False,False,False
2025-08-20,1.0,10.0,16.0,False,False,False
2025-08-26,0.5,96.0,26.0,False,False,False
2025-08-26,1.0,250.0,54.0,False,False,False
2025-09-25,0.0,0.0,53.0,False,False,False
2025-09-25,0.5,0.0,42.0,False,False,False
2025-09-25,1.0,30.0,10.0,False,False,False
