date,송정_정점명,송정_정점코드,송정_유속(cm/s),송정_유향(deg),송정_수온(℃),송정_염분(PSU),송정_유의파고(m),송정_유의파주기(sec),송정_최대파고(m),송정_최대파주기(sec),송정_풍속(m/s),송정_풍향(deg),송정_기온(℃),송정_기압(hPa),송정_시정(m)
2023-05-17,,,,,,,0.1,,0.1,,2.9,236.29929577464787,18.979225352112678,1015.0158450704225,
2023-05-18,,,,,,,0.1,,0.2,,1.3,197.5772357723577,19.347154471544712,1012.960975609756,
2023-05-19,,,,,,,,,,,,,,,
2023-05-20,,,,,,,,,,,,,,,
2023-05-21,,,37.73012048192771,270.3614457831325,18.20722891566265,,0.4,,0.8,,,269.5731707317073,17.289655172413795,1007.335632183908,
2023-05-22,,,31.160098522167488,223.06896551724137,17.64207920792079,,0.7,,0.9,,2.1,171.74074074074073,18.056967213114753,1007.5233606557377,
2023-05-23,,,13.488928571428572,176.39285714285714,18.244285714285713,,1.2,,1.6,,5.1,179.69395017793593,17.598576512455516,1010.1544483985766,
2023-05-24,,,58.3,70.0,16.4,,0.5,,0.5,,0.6,351.0,16.0,1013.2,
2023-05-25,,,42.57528089887641,89.5505617977528,16.591760299625467,,0.7,,1.1,,5.2,201.56179775280899,17.46142322097378,1017.6456928838952,
2023-05-26,,,48.47256317689531,58.29963898916967,16.71191335740072,,0.9,,1.4,,6.9,232.78700361010831,17.405054151624547,1019.4675090252707,
2023-05-27,,,47.22043795620438,58.18248175182482,16.713186813186812,,0.8,,1.3,,7.1,234.51636363636365,19.019636363636362,1019.1563636363636,
2023-05-28,,,51.27809187279152,58.56890459363957,16.790812720848056,,1.0,,1.8,,8.4,242.61484098939928,18.895759717314487,1014.856183745583,
2023-05-29,,,37.89064748201439,56.093525179856115,15.897841726618706,,0.9,,1.6,,9.2,159.99283154121864,14.297448979591838,1011.2630824372761,
2023-05-30,,,37.028014184397165,50.95744680851064,17.555673758865247,,1.4,,2.2,,10.4,39.794326241134755,8.525352112676055,1011.6195035460993,
2023-05-31,,,31.14857142857143,38.96491228070175,18.18642857142857,,1.5,,2.5,,10.4,94.36842105263158,1.9073170731707318,1011.8114285714286,
2023-06-01,,,37.379003558718864,102.90747330960853,18.069750889679717,,1.4,,2.0,,4.9,181.11743772241994,14.147685185185185,1007.9202846975088,
2023-06-02,,,46.58607142857143,89.725,18.088214285714287,,0.7,,1.2,,5.7,135.56737588652481,11.873958333333334,1001.3070921985815,
2023-06-03,,,47.32679245283019,84.72452830188679,18.556818181818183,,0.9,,1.3,,7.4,192.8450184501845,18.306603773584907,1007.429520295203,
2023-06-04,,,36.329850746268654,123.30845771144278,17.618905472636815,,0.6,,1.0,,8.0,239.92537313432837,21.487562189054728,1010.1945273631841,
2023-06-05,,,,,,,,,,,,,,,
2023-06-06,,,53.012280701754385,105.56140350877193,16.997076023391813,,0.7,,1.1,,6.3,202.83040935672514,18.905952380952378,1006.9538011695906,
2023-06-07,,,52.2125,112.03571428571429,16.6475,,1.0,,1.7,,9.0,213.07142857142858,18.88142857142857,1009.0017857142857,
2023-06-08,,,46.74542253521127,121.61619718309859,16.50985915492958,,0.8,,1.3,,9.8,217.11267605633802,18.84225352112676,1006.5461267605633,
