date,dongbu_discharge_m3_day,haeundae_sewage_discharge_m3_day
2015-09-08,,39125
2015-09-09,,38387
2015-09-10,,38459
2015-09-11,,39002
2015-09-12,,37540
2015-09-13,,40557
2015-09-14,,38879
2015-09-15,,38093
2015-09-16,,35639
2015-09-17,,45968
2015-09-18,,42697
2015-09-19,,41232
2015-09-20,,42079
2015-09-21,,39418
2015-09-22,,38822
2015-09-23,,39484
2015-09-24,,49005
2015-09-25,,45399
2015-09-26,,45249
2015-09-27,,35941
2015-09-28,,37965
2015-09-29,,40412
2015-09-30,,38393
2015-10-01,,42722
2015-10-02,,42064
2015-10-03,,43389
2015-10-04,,41373
2015-10-05,,38248
2015-10-06,,38146
2015-10-07,,38081
2015-10-08,,37950
2015-10-09,,37953
2015-10-10,,37358
2015-10-11,,38493
2015-10-12,,37405
2015-10-13,,37133
2015-10-14,,37507
2015-10-15,,36361
2015-10-16,,36244
2015-10-17,,37488
2015-10-18,,37566
2015-10-19,,37376
2015-10-20,,37716
2015-10-21,,40034
2015-10-22,,39544
2015-10-23,,38927
2015-10-24,,40841
2015-10-25,,41108
2015-10-26,,39515
2015-10-27,,39697
2015-10-28,,38671
2015-10-29,,39326
2015-10-30,,37659
2015-10-31,,38874
2015-11-01,,40112
2015-11-02,,40098
2015-11-03,,38901
2015-11-04,,35136
2015-11-05,,34416
2015-11-06,,32567
2015-11-07,,37841
2015-11-08,,47958
2015-11-09,,40844
2015-11-10,,37965
2015-11-11,,37762
2015-11-12,,39104
2015-11-13,,50549
2015-11-14,,43169
2015-11-15,,41716
2015-11-16,,39134
2015-11-17,,38715
2015-11-18,,39677
2015-11-19,,39637
2015-11-20,,40879
2015-11-21,,41643
2015-11-22,,42919
2015-11-23,,41768
2015-11-24,,39792
2015-11-25,,40789
2015-11-26,,42154
2015-11-27,,40048
2015-11-28,,36832
2015-11-29,,35371
2015-11-30,,34390
2015-12-01,,39990
2015-12-02,,39459
2015-12-03,,39304
2015-12-04,,40263
2015-12-05,,38090
2015-12-06,,42197
2015-12-07,,41663
2015-12-08,,35707
2015-12-09,,40164
2015-12-10,,40768
2015-12-11,,47358
2015-12-12,,43944
2015-12-13,,36645
2015-12-14,,40659
2015-12-15,,41324
2015-12-16,,40810
2015-12-17,,40665
2015-12-18,,41118
2015-12-19,,42800
2015-12-20,,42327
2015-12-21,,42138
2015-12-22,,37990
2015-12-23,,39117
2015-12-24,,39612
2015-12-25,,41032
2015-12-26,,37686
2015-12-27,,43063
2015-12-28,,40646
2015-12-29,,39948
2015-12-30,,39225
2015-12-31,,39937
2016-01-01,,39274
2016-01-02,,35700
2016-01-03,,41513
2016-01-04,,40563
2016-01-05,,35575
2016-01-06,,37908
2016-01-07,,40564
2016-01-08,,39453
2016-01-09,,39413
2016-01-10,,40219
2016-01-11,,38736
2016-01-12,,37462
2016-01-13,,37074
2016-01-14,,37444
2016-01-15,,38469
2016-01-16,,38826
2016-01-17,,38591
2016-01-18,,39724
2016-01-19,,38056
2016-01-20,,35489
2016-01-21,,38198
2016-01-22,,37184
2016-01-23,,38260
2016-01-24,,38700
2016-01-25,,36565
2016-01-26,,38374
2016-01-27,,39440
2016-01-28,,37231
2016-01-29,,43890
2016-01-30,,37595
2016-01-31,,43638
2016-02-01,,41846
2016-02-02,,40408
2016-02-03,,39828
2016-02-04,,41693
2016-02-05,,40446
2016-02-06,,40657
2016-02-07,,40178
2016-02-08,,36453
2016-02-09,,37654
2016-02-10,,42591
2016-02-11,,39915
2016-02-12,,37512
2016-02-13,,50390
2016-02-14,,44401
2016-02-15,,41272
2016-02-16,,39125
2016-02-17,,38501
2016-02-18,,40125
2016-02-19,,38086
2016-02-20,,37891
2016-02-21,,41519
2016-02-22,,37883
2016-02-23,,37751
2016-02-24,,37725
2016-02-25,,38682
2016-02-26,,38167
2016-02-27,,39805
2016-02-28,,36865
2016-02-29,,36951
2016-03-01,,40897
2016-03-02,,37979
2016-03-03,,37493
2016-03-04,,41364
2016-03-05,,40324
2016-03-06,,47167
2016-03-07,,42681
2016-03-08,,37795
2016-03-09,,43152
2016-03-10,,37246
2016-03-11,,35199
2016-03-12,,33617
2016-03-13,,39403
2016-03-14,,38238
2016-03-15,,34970
2016-03-16,,36315
2016-03-17,,37362
2016-03-18,,37577
2016-03-19,,42887
2016-03-20,,39725
2016-03-21,,38681
2016-03-22,,36858
2016-03-23,,34807
2016-03-24,,34353
2016-03-25,,36124
2016-03-26,,40357
2016-03-27,,40498
2016-03-28,,36462
2016-03-29,,32146
2016-03-30,,34921
2016-03-31,,35593
2016-04-01,,38094
2016-04-02,,38856
2016-04-03,,38439
2016-04-04,,37325
2016-04-05,,36569
2016-04-06,,38817
2016-04-07,,51677
2016-04-08,,39306
2016-04-09,,39557
2016-04-10,,38101
2016-04-11,,38375
2016-04-12,,36978
2016-04-13,,33887
2016-04-14,,39550
2016-04-15,,36892
2016-04-16,,35583
2016-04-17,,46846
2016-04-18,,41957
2016-04-19,,41352
2016-04-20,,37576
2016-04-21,,37907
2016-04-22,,39456
2016-04-23,,38920
2016-04-24,,35828
2016-04-25,,38682
2016-04-26,,37688
2016-04-27,,38344
2016-04-28,,39703
2016-04-29,,38682
2016-04-30,,41862
2016-05-01,,38597
2016-05-02,,36541
2016-05-03,,38185
2016-05-04,,43029
2016-05-05,,36307
2016-05-06,,38076
2016-05-07,,42733
2016-05-08,,39890
2016-05-09,,37871
2016-05-10,,40090
2016-05-11,,38861
2016-05-12,,38498
2016-05-13,,40203
2016-05-14,,41350
2016-05-15,,37553
2016-05-16,,42845
2016-05-17,,40903
2016-05-18,,42595
2016-05-19,,38545
2016-05-20,,37458
2016-05-21,,41078
2016-05-22,,41848
2016-05-23,,40112
2016-05-24,,37542
2016-05-25,,39987
2016-05-26,,40551
2016-05-27,,37736
2016-05-28,,33610
2016-05-29,,40879
2016-05-30,,41846
2016-05-31,,41009
2016-06-01,,40010
2016-06-02,,38885
2016-06-03,,40192
2016-06-04,,39820
2016-06-05,,40674
2016-06-06,,38974
2016-06-07,,39487
2016-06-08,,40293
2016-06-09,,38147
2016-06-10,,38862
2016-06-11,,49847
2016-06-12,,40388
2016-06-13,,38465
2016-06-14,,36121
2016-06-15,,36474
2016-06-16,,38658
2016-06-17,,37812
2016-06-18,,39854
2016-06-19,,43862
2016-06-20,,40472
2016-06-21,,38732
2016-06-22,,36563
2016-06-23,,38667
2016-06-24,,36683
2016-06-25,,43736
2016-06-26,,42899
2016-06-27,,39250
2016-06-28,,39385
2016-06-29,,39093
2016-06-30,,36998
2016-07-01,,37273
2016-07-02,,42947
2016-07-03,,40045
2016-07-04,,40442
2016-07-05,,41574
2016-07-06,,39192
2016-07-07,,39261
2016-07-08,,38495
2016-07-09,,40459
2016-07-10,,38495
2016-07-11,,40196
2016-07-12,,39532
2016-07-13,,44974
2016-07-14,,38671
2016-07-15,,37914
2016-07-16,,41323
2016-07-17,,38519
2016-07-18,,37166
2016-07-19,,37450
2016-07-20,,37613
2016-07-21,,39630
2016-07-22,,38017
2016-07-23,,39076
2016-07-24,,37385
2016-07-25,,38358
2016-07-26,,37544
2016-07-27,,40944
2016-07-28,,37881
2016-07-29,,38740
2016-07-30,,39642
2016-07-31,,38012
2016-08-01,,35837
2016-08-02,,36236
2016-08-03,,38083
2016-08-04,,37302
2016-08-05,,36352
2016-08-06,,34182
2016-08-07,,42037
2016-08-08,,37756
2016-08-09,,39764
2016-08-10,,41062
2016-08-11,,42909
2016-08-12,,43099
2016-08-13,,43104
2016-08-14,,41334
2016-08-15,,43744
2016-08-16,,35534
2016-08-17,,39840
2016-08-18,,40820
2016-08-19,,39954
2016-08-20,,39807
2016-08-21,,40222
2016-08-22,,40140
2016-08-23,,39545
2016-08-24,,38403
2016-08-25,,37456
2016-08-26,,37461
2016-08-27,,38253
2016-08-28,,48109
2016-08-29,,43985
2016-08-30,,40415
2016-08-31,,39837
2016-09-01,,39424
2016-09-02,,43094
2016-09-03,,43788
2016-09-04,,47818
2016-09-05,,43318
2016-09-06,,43115
2016-09-07,,41652
2016-09-08,,43902
2016-09-09,,40549
2016-09-10,,40141
2016-09-11,,41567
2016-09-12,,45990
2016-09-13,,46215
2016-09-14,,46151
2016-09-15,,38083
2016-09-16,,39267
2016-09-17,,47543
2016-09-18,,57284
2016-09-19,,48844
2016-09-20,,45351
