date,solar_radiation_sum
2019-12-23,9.7056
2019-12-24,9.1656
2019-12-25,10.2852
2019-12-26,2.3004
2019-12-27,11.3616
2019-12-28,11.0808
2019-12-29,2.7036
2019-12-30,9.9972
2019-12-31,11.6748
2020-01-01,10.962
2020-01-02,10.8504
2020-01-03,11.2752
2020-01-04,9.435599999999999
2020-01-05,11.138399999999999
2020-01-06,2.0879999999999996
2020-01-07,1.6992
2020-01-08,5.9364
2020-01-09,10.839599999999999
2020-01-10,11.357999999999999
2020-01-11,11.6352
2020-01-12,11.710799999999999
2020-01-13,8.211599999999999
2020-01-14,6.3792
2020-01-15,12.24
2020-01-16,8.913599999999999
2020-01-17,7.0272
2020-01-18,6.4404
2020-01-19,8.1972
2020-01-20,11.322
2020-01-21,12.6828
2020-01-22,4.1544
2020-01-23,2.9844
2020-01-24,12.1068
2020-01-25,4.0644
2020-01-26,8.118
2020-01-27,1.098
2020-01-28,9.7128
2020-01-29,9.5148
2020-01-30,10.8216
2020-01-31,10.501199999999999
2020-02-01,13.935599999999999
2020-02-02,12.9312
2020-02-03,12.9636
2020-02-04,14.5044
2020-02-05,15.1128
2020-02-06,13.7412
2020-02-07,13.3452
2020-02-08,14.975999999999999
2020-02-09,13.1796
2020-02-10,14.468399999999999
2020-02-11,12.0636
2020-02-12,1.53
2020-02-13,14.7492
2020-02-14,14.0616
2020-02-15,13.3812
2020-02-16,11.667599999999998
2020-02-17,15.138
2020-02-18,16.8732
2020-02-19,16.02
2020-02-20,16.6248
2020-02-21,15.7248
2020-02-22,16.8048
2020-02-23,17.567999999999998
2020-02-24,15.2532
2020-02-25,2.2536
2020-02-26,9.738
2020-02-27,6.6024
2020-02-28,3.8699999999999997
2020-02-29,9.9396
2020-03-01,13.8888
2020-03-02,17.9316
2020-03-03,9.4788
2020-03-04,16.5384
2020-03-05,19.3752
2020-03-06,19.1916
2020-03-07,5.598
2020-03-08,18.5148
2020-03-09,9.108
2020-03-10,5.274
2020-03-11,20.404799999999998
2020-03-12,20.4228
2020-03-13,17.398799999999998
2020-03-14,21.1248
2020-03-15,16.3224
2020-03-16,20.9088
2020-03-17,20.5956
2020-03-18,21.2688
2020-03-19,19.519199999999998
2020-03-20,21.3228
2020-03-21,20.7684
2020-03-22,19.5696
2020-03-23,21.6144
2020-03-24,18.3924
2020-03-25,21.528
2020-03-26,5.1659999999999995
2020-03-27,4.734
2020-03-28,6.6924
2020-03-29,14.637599999999999
2020-03-30,19.4868
2020-03-31,20.933999999999997
2020-04-01,10.2888
2020-04-02,23.054399999999998
2020-04-03,22.8996
2020-04-04,23.3244
2020-04-05,23.6772
2020-04-06,23.162399999999998
2020-04-07,23.2416
2020-04-08,23.976
2020-04-09,23.7132
2020-04-10,8.2296
2020-04-11,9.043199999999999
2020-04-12,8.863199999999999
2020-04-13,13.176
2020-04-14,24.7176
2020-04-15,18.0288
2020-04-16,21.6
2020-04-17,3.528
2020-04-18,19.7244
2020-04-19,5.004
2020-04-20,22.086
2020-04-21,24.1488
2020-04-22,24.717599999999997
2020-04-23,21.294
2020-04-24,24.66
2020-04-25,25.0776
2020-04-26,25.5348
2020-04-27,21.0636
2020-04-28,25.9056
2020-04-29,25.8444
2020-04-30,25.7976
2020-05-01,23.4936
2020-05-02,17.132399999999997
2020-05-03,5.5116
2020-05-04,23.540399999999998
2020-05-05,14.763599999999999
2020-05-06,25.4196
2020-05-07,26.3448
2020-05-08,23.922
2020-05-09,3.6864
2020-05-10,15.732
2020-05-11,26.7984
2020-05-12,26.6796
2020-05-13,27.2412
2020-05-14,20.052
2020-05-15,3.9744
2020-05-16,11.0628
2020-05-17,18.342
2020-05-18,8.1396
2020-05-19,19.857599999999998
2020-05-20,23.8608
2020-05-21,18.752399999999998
2020-05-22,24.0048
2020-05-23,26.0892
2020-05-24,20.365199999999998
2020-05-25,13.3128
2020-05-26,14.22
2020-05-27,26.3916
2020-05-28,25.2684
2020-05-29,26.4924
2020-05-30,19.7316
2020-05-31,16.9128
2020-06-01,23.3712
2020-06-02,27.0324
2020-06-03,18.0648
2020-06-04,24.9732
2020-06-05,22.2948
2020-06-06,19.6092
2020-06-07,27.233999999999998
2020-06-08,27.684
2020-06-09,27.622799999999998
2020-06-10,26.622
2020-06-11,12.5892
2020-06-12,15.5772
2020-06-13,6.4656
2020-06-14,9.0072
2020-06-15,26.4312
2020-06-16,26.747999999999998
2020-06-17,17.082
2020-06-18,5.6052
2020-06-19,22.9716
2020-06-20,23.5944
2020-06-21,25.621199999999998
2020-06-22,27.8244
2020-06-23,26.528399999999998
2020-06-24,9.738
2020-06-25,7.1244
2020-06-26,26.55
2020-06-27,19.936799999999998
2020-06-28,22.8096
2020-06-29,10.605599999999999
2020-06-30,18.7776
2020-07-01,18.1872
2020-07-02,18.5652
2020-07-03,5.6808
2020-07-04,16.0092
2020-07-05,16.002
2020-07-06,11.0232
2020-07-07,19.1772
2020-07-08,22.4136
2020-07-09,21.456
2020-07-10,4.3848
2020-07-11,10.9908
2020-07-12,5.0184
2020-07-13,3.1428
2020-07-14,8.7876
2020-07-15,4.8168
2020-07-16,25.0308
2020-07-17,27.7488
2020-07-18,13.8204
2020-07-19,8.1828
2020-07-20,12.4632
2020-07-21,19.7424
2020-07-22,4.3056
2020-07-23,3.7908
2020-07-24,17.352
2020-07-25,17.712
2020-07-26,25.4952
2020-07-27,3.7224
2020-07-28,7.8408
2020-07-29,11.718
2020-07-30,14.3028
2020-07-31,18.1908
2020-08-01,18.871199999999998
2020-08-02,17.6796
2020-08-03,16.8444
2020-08-04,19.2528
2020-08-05,20.1924
2020-08-06,9.705599999999999
2020-08-07,7.311599999999999
2020-08-08,5.31
2020-08-09,20.4876
2020-08-10,9.097199999999999
2020-08-11,17.8236
2020-08-12,13.6152
2020-08-13,22.3344
2020-08-14,21.2328
2020-08-15,23.7384
2020-08-16,25.113599999999998
2020-08-17,25.304399999999998
2020-08-18,24.4296
2020-08-19,24.4296
2020-08-20,23.7276
2020-08-21,24.080399999999997
2020-08-22,19.3248
2020-08-23,19.2888
2020-08-24,23.889599999999998
2020-08-25,23.3352
2020-08-26,14.0832
2020-08-27,6.3252
2020-08-28,15.4368
2020-08-29,18.2772
2020-08-30,18.0036
2020-08-31,17.7624
2020-09-01,16.1172
2020-09-02,12.3768
2020-09-03,22.5828
2020-09-04,23.9076
2020-09-05,3.3407999999999998
2020-09-06,6.9803999999999995
2020-09-07,8.9316
2020-09-08,20.0124
2020-09-09,18.2412
2020-09-10,16.0812
2020-09-11,8.478
2020-09-12,16.794
2020-09-13,12.276
2020-09-14,17.8236
2020-09-15,19.0008
2020-09-16,7.3872
2020-09-17,3.7656
2020-09-18,6.84
2020-09-19,18.5616
2020-09-20,21.7728
2020-09-21,18.3132
2020-09-22,10.4292
2020-09-23,11.2644
2020-09-24,13.1004
2020-09-25,16.9956
2020-09-26,16.7364
2020-09-27,16.5708
2020-09-28,17.6436
2020-09-29,18.4356
2020-09-30,16.7652
2020-10-01,17.6796
2020-10-02,18.5544
2020-10-03,15.5772
2020-10-04,7.887599999999999
2020-10-05,19.7568
2020-10-06,18.7416
2020-10-07,17.7588
2020-10-08,14.727599999999999
2020-10-09,12.0636
2020-10-10,13.931999999999999
2020-10-11,11.865599999999999
2020-10-12,16.0704
2020-10-13,16.433999999999997
2020-10-14,12.995999999999999
2020-10-15,15.8868
2020-10-16,5.3136
2020-10-17,16.6896
2020-10-18,16.5456
2020-10-19,15.508799999999999
2020-10-20,16.4592
2020-10-21,7.8084
2020-10-22,3.7908
2020-10-23,16.6392
2020-10-24,16.3584
2020-10-25,16.0056
2020-10-26,15.2928
2020-10-27,14.706
2020-10-28,9.882
2020-10-29,13.7376
2020-10-30,12.7872
2020-10-31,13.788
2020-11-01,5.688
2020-11-02,6.552
2020-11-03,14.8608
2020-11-04,15.091199999999999
2020-11-05,13.104
2020-11-06,7.2108
2020-11-07,10.8864
2020-11-08,13.827599999999999
2020-11-09,14.1768
2020-11-10,13.572
2020-11-11,13.2264
2020-11-12,12.970799999999999
2020-11-13,13.086
2020-11-14,11.0016
2020-11-15,10.850399999999999
2020-11-16,12.366
2020-11-17,9.316799999999999
2020-11-18,7.9344
2020-11-19,2.4696
2020-11-20,11.476799999999999
2020-11-21,7.614
2020-11-22,1.9152
2020-11-23,12.312
2020-11-24,9.7524
2020-11-25,11.7576
2020-11-26,8.8056
2020-11-27,10.616399999999999
2020-11-28,11.7936
2020-11-29,11.631599999999999
2020-11-30,11.9232
