examinDe,beachKoreanNm,examinLcDetail,distance_from_estuary_km,ecoli_max,enterococcus_max,any_exceed
2021-08-31,다대포서측,,0.0,10.0,5.0,False
2021-08-10,다대포서측,,0.0,0.5,0.5,False
2021-08-10,다대포서측,,0.0,52.0,26.0,False
2021-08-10,다대포서측,,0.0,41.0,5.0,False
2021-08-03,다대포서측,,0.0,0.5,10.0,False
2021-08-03,다대포서측,,0.0,0.5,5.0,False
2021-08-03,다대포서측,,0.0,0.5,0.5,False
2021-07-29,다대포서측,,0.0,10.0,0.5,False
2021-07-29,다대포서측,,0.0,0.5,0.5,False
2021-07-29,다대포서측,,0.0,41.0,0.5,False
2021-07-22,다대포서측,,0.0,1467.0,135.0,True
2021-07-22,다대포서측,,0.0,2486.0,92.0,True
2021-07-22,다대포서측,,0.0,2755.0,162.0,True
2021-07-15,다대포서측,,0.0,10.0,5.0,False
2021-07-15,다대포서측,,0.0,0.5,0.5,False
2021-07-15,다대포서측,,0.0,10.0,0.5,False
2021-06-08,다대포서측,,0.0,11199.0,0.5,True
2021-06-08,다대포서측,,0.0,9208.0,0.5,True
2021-06-08,다대포서측,,0.0,8164.0,0.5,True
2022-09-26,다대포서측,,0.0,63.0,10.0,False
2022-09-26,다대포서측,,0.0,246.0,10.0,False
2022-09-26,다대포서측,,0.0,74.0,26.0,False
2022-08-30,다대포서측,,0.0,110.0,43.0,False
2022-08-30,다대포서측,,0.0,75.0,32.0,False
2022-08-30,다대포서측,,0.0,74.0,10.0,False
2022-08-16,다대포서측,,0.0,41.0,48.0,False
2022-08-16,다대포서측,,0.0,155.0,42.0,False
2022-08-16,다대포서측,,0.0,20.0,42.0,False
2022-08-09,다대포서측,,0.0,0.5,87.0,False
2022-08-09,다대포서측,,0.0,0.5,68.0,False
2022-08-09,다대포서측,,0.0,0.5,89.0,False
2022-07-26,다대포서측,,0.0,10.0,5.0,False
2022-07-26,다대포서측,,0.0,20.0,0.5,False
2022-07-26,다대포서측,,0.0,10.0,5.0,False
2022-07-20,다대포서측,,0.0,10.0,10.0,False
2022-07-20,다대포서측,,0.0,30.0,5.0,False
2022-07-20,다대포서측,,0.0,0.5,0.5,False
2022-07-07,다대포서측,,0.0,20.0,5.0,False
2022-07-07,다대포서측,,0.0,0.5,5.0,False
2022-07-07,다대포서측,,0.0,0.5,0.5,False
2022-06-13,다대포서측,다대포A,0.0,20.0,10.0,False
2022-06-13,다대포서측,다대포B,0.5,5.0,0.5,False
2022-06-13,다대포서측,다대포C,1.0,16.0,0.5,False
2023-09-12,다대포서측,다대포 A2,0.0,15.0,0.5,False
2023-09-12,다대포서측,다대포 B2,0.5,21.0,0.5,False
2023-09-12,다대포서측,다대포 C2,1.0,5.0,31.0,False
2023-08-28,다대포서측,다대포 A2,0.0,441.0,223.0,True
2023-08-28,다대포서측,다대포 B2,0.5,277.0,238.0,True
2023-08-28,다대포서측,다대포 C2,1.0,319.0,169.0,True
2023-08-16,다대포서측,다대포 A1,0.0,910.0,605.0,True
2023-08-16,다대포서측,다대포 B2,0.5,1032.0,638.0,True
2023-08-16,다대포서측,다대포 C2,1.0,1715.0,958.0,True
2023-08-08,다대포서측,다대포  A1,0.0,26.0,20.0,False
2023-08-08,다대포서측,다대포  B1,0.5,49.0,63.0,False
2023-08-08,다대포서측,다대포  C1,1.0,21.0,41.0,False
2023-08-01,다대포서측,다대포 A1,0.0,21.0,10.0,False
2023-08-01,다대포서측,다대포 B1,0.5,31.0,10.0,False
2023-08-01,다대포서측,다대포 C1,1.0,67.0,31.0,False
2023-07-27,다대포서측,다대포 A2,0.0,5.0,0.5,False
2023-07-27,다대포서측,다대포 B2,0.5,5.0,10.0,False
