date,suyeong_vol,nambu_vol
2015-10-12,329987,344663
2015-10-13,322596,340977
2015-10-14,320029,356407
2015-10-15,321971,325517
2015-10-16,324282,369360
2015-10-17,331879,364366
2015-10-18,335785,359882
2015-10-19,323055,367525
2015-10-20,315633,352085
2015-10-21,321962,356480
2015-10-22,319209,374064
2015-10-23,325092,343873
2015-10-24,329528,355531
2015-10-25,325767,364163
2015-10-26,321194,365536
2015-10-27,357708,354050
2015-10-28,333121,356933
2015-10-29,318993,356136
2015-10-30,317955,347687
2015-10-31,316336,334096
2015-11-01,314015,321428
2015-11-02,320395,341803
2015-11-03,314963,323878
2015-11-04,313994,323430
2015-11-05,309250,334476
2015-11-06,313199,336810
2015-11-07,375875,338329
2015-11-08,467006,365525
2015-11-09,396140,358467
2015-11-10,350512,354722
2015-11-11,338333,359880
2015-11-12,324933,349631
2015-11-13,372216,344612
2015-11-14,398536,368987
2015-11-15,355559,368553
2015-11-16,347101,371609
2015-11-17,379193,353412
2015-11-18,383510,371891
2015-11-19,348386,359890
2015-11-20,334259,364492
2015-11-21,335671,384142
2015-11-22,340877,380198
2015-11-23,323739,357135
2015-11-24,330487,315434
2015-11-25,332090,295707
2015-11-26,330671,334926
2015-11-27,324809,341507
2015-11-28,328716,338974
2015-11-29,327110,343776
2015-11-30,321908,328373
2015-12-01,315047,330173
2015-12-02,312712,342762
2015-12-03,311567,329255
2015-12-04,307336,325667
2015-12-05,317938,320259
2015-12-06,320091,320908
2015-12-07,314093,324764
2015-12-08,311933,321173
2015-12-09,304808,322195
2015-12-10,377227,352482
2015-12-11,445338,393340
2015-12-12,383798,373753
2015-12-13,356804,342961
2015-12-14,330928,339541
2015-12-15,330872,341960
2015-12-16,324034,337345
2015-12-17,314110,334852
2015-12-18,314561,323873
2015-12-19,330869,311885
2015-12-20,322782,307712
2015-12-21,354581,355170
2015-12-22,312774,307503
2015-12-23,321165,315647
2015-12-24,316684,320939
2015-12-25,312681,315462
2015-12-26,313161,312071
2015-12-27,316894,317382
2015-12-28,302154,308034
2015-12-29,300408,298866
2015-12-30,298498,298740
2015-12-31,306869,306465
2016-01-01,303003,294640
2016-01-02,309706,298561
2016-01-03,311520,306127
2016-01-04,306808,292458
2016-01-05,292985,295198
2016-01-06,300788,276528
2016-01-07,298371,311756
2016-01-08,297836,312870
2016-01-09,306885,311702
2016-01-10,308327,323840
2016-01-11,298840,318523
2016-01-12,291781,324115
2016-01-13,294540,322504
2016-01-14,295497,304709
2016-01-15,293494,325137
2016-01-16,302142,309547
2016-01-17,320545,318437
2016-01-18,329267,332764
2016-01-19,290415,307914
2016-01-20,302808,289410
2016-01-21,298624,307862
2016-01-22,307376,307776
2016-01-23,309538,304439
2016-01-24,306875,318260
2016-01-25,299817,311737
2016-01-26,312511,320043
2016-01-27,333008,322023
2016-01-28,333266,345210
2016-01-29,403496,381087
2016-01-30,393244,371481
2016-01-31,365404,356129
2016-02-01,347124,341494
2016-02-02,322078,328010
2016-02-03,316427,335725
2016-02-04,318011,324117
2016-02-05,324642,333260
2016-02-06,347119,338647
2016-02-07,355134,338427
2016-02-08,321807,326081
2016-02-09,306910,310247
2016-02-10,312877,330940
2016-02-11,316867,354572
2016-02-12,377892,370655
2016-02-13,460658,452222
2016-02-14,457426,444337
2016-02-15,371558,405872
2016-02-16,347239,371321
2016-02-17,337968,358533
2016-02-18,317589,348984
2016-02-19,334225,351957
2016-02-20,334581,349660
2016-02-21,329782,352220
2016-02-22,313306,339153
2016-02-23,310090,329365
2016-02-24,306653,325588
2016-02-25,303377,320266
2016-02-26,307577,326844
2016-02-27,318645,330292
2016-02-28,325035,329222
2016-02-29,312424,301381
2016-03-01,304234,302327
2016-03-02,305480,302982
2016-03-03,309023,319933
2016-03-04,410969,391275
2016-03-05,422223,395630
2016-03-06,451550,395499
2016-03-07,445174,399244
2016-03-08,389195,385316
2016-03-09,454013,411092
2016-03-10,382194,402392
2016-03-11,362010,379784
2016-03-12,357010,385832
2016-03-13,348306,360453
2016-03-14,333796,348969
2016-03-15,327154,359015
2016-03-16,322272,348963
2016-03-17,324160,354235
2016-03-18,423816,448770
2016-03-19,442687,461407
2016-03-20,392926,453445
2016-03-21,366918,423429
2016-03-22,350645,410112
2016-03-23,345752,316623
2016-03-24,332108,373354
2016-03-25,327599,351818
2016-03-26,366475,377312
2016-03-27,404302,387460
2016-03-28,338231,358499
2016-03-29,320066,336912
2016-03-30,332584,353285
2016-03-31,320002,345394
2016-04-01,329214,354628
2016-04-02,334446,339000
2016-04-03,329131,340204
