distance_from_estuary_km,precip_daily,temp_daily,wind_max,gijang_discharge_m3_day,discharge_95th_thresh,precip_1d_lag,precip_2d_sum_lag,precip_3d_sum_lag,precip_5d_sum_lag,temp_1d_lag,wind_max_1d_lag,gijang_discharge_1d_lag,gijang_thresh_1d_lag,CSO_Flag_Rain,Dual_CSO_Flag,month,is_weekend,avg_water_temp,avg_water_temp_1d_lag,tide_range,tide_range_1d_lag,wind_sin,wind_cos,wind_sin_1d_lag,wind_cos_1d_lag,dry_days_count,actual,predicted_prob,predicted_class,is_error
0.0,1.5,27.254166666666663,12.3,6588.3,7482.475,0.0,0.3,2.7000000000000144,2.9000000000000004,26.629166666666663,14.1,1380.4,5210.24,0.0,0.0,8.0,0.0,27.1,27.3,100.0,77.0,0.9952273999818312,-0.0975828997591493,0.7727335734973511,0.6347305132022676,0.0,0,0.541415,1,True
0.5,1.5,27.254166666666663,12.3,6588.3,7482.475,0.0,0.3,2.7000000000000144,2.9000000000000004,26.629166666666663,14.1,1380.4,5210.239999999999,0.0,0.0,8.0,0.0,27.1,27.3,100.0,77.0,0.9952273999818312,-0.0975828997591493,0.7727335734973511,0.6347305132022676,0.0,0,0.5909441,1,True
1.0,1.5,27.254166666666663,12.3,6588.3,7482.475,0.0,0.3,2.7000000000000144,2.9000000000000004,26.629166666666663,14.1,1380.4,5210.239999999999,0.0,0.0,8.0,0.0,27.1,27.3,100.0,77.0,0.9952273999818312,-0.0975828997591493,0.7727335734973511,0.6347305132022676,0.0,0,0.61300945,1,True
0.0,0.3,28.625,24.6,6022.9,7197.065,0.0,0.0,0.0,0.0,26.65416666666667,11.5,2083.1,5459.545000000001,0.0,0.0,8.0,0.0,26.1,26.4,58.0,43.0,0.3826834323650898,0.9238795325112868,-0.5962248749656155,-0.8028174751911148,0.0,0,0.6001912,1,True
0.5,0.3,28.625,24.6,6022.9,7197.065,0.0,0.0,0.0,0.0,26.65416666666667,11.5,2083.1,5459.545,0.0,0.0,8.0,0.0,26.1,26.4,58.0,43.0,0.3826834323650898,0.9238795325112868,-0.5962248749656155,-0.8028174751911148,0.0,0,0.49618918,1,True
1.0,0.3,28.625,24.6,6022.9,7197.065,0.0,0.0,0.0,0.0,26.65416666666667,11.5,2083.1,5459.545,0.0,0.0,8.0,0.0,26.1,26.4,58.0,43.0,0.3826834323650898,0.9238795325112868,-0.5962248749656155,-0.8028174751911148,0.0,0,0.6883425,1,True
0.0,0.0,21.766666666666666,21.5,5797.3,7107.659999999999,0.1,0.2,1.0000000000000142,24.1,21.166666666666668,32.1,2618.1,5232.9000000000015,0.0,0.0,9.0,0.0,22.0,21.9,133.0,137.0,0.1959461442425177,0.980614658546613,0.3826834323650898,0.9238795325112868,1.0,0,0.63099587,1,True
1.0,0.0,21.766666666666666,21.5,5797.3,7107.659999999999,0.1,0.2,1.0000000000000142,24.1,21.166666666666668,32.1,2618.1,5232.9000000000015,0.0,0.0,9.0,0.0,22.0,21.9,133.0,137.0,0.1959461442425177,0.980614658546613,0.3826834323650898,0.9238795325112868,1.0,0,0.5992431,1,True
0.0,1.0,20.275,16.2,6160.9,8249.3,1.8,13.500000000000002,23.30000000000001,23.30000000000001,19.1125,16.3,1437.0,6059.290000000001,1.0,0.0,6.0,0.0,19.3,19.3,106.0,107.0,-0.74080459628675,-0.6717205893229903,0.8309844692743282,-0.5562956155003048,0.0,0,0.8196803,1,True
0.5,1.0,20.275,16.2,6160.9,8249.3,1.8,13.500000000000002,23.30000000000001,23.30000000000001,19.1125,16.3,1437.0,6059.290000000001,1.0,0.0,6.0,0.0,19.3,19.3,106.0,107.0,-0.74080459628675,-0.6717205893229903,0.8309844692743282,-0.5562956155003048,0.0,0,0.8196803,1,True
