지점,지점명,일시,평균 풍속(m/s),최대 순간 풍속 풍향(deg)
923,기장,2017-11-22,1.2,315
923,기장,2017-11-23,1.8,348.8
923,기장,2017-11-24,2,272.8
923,기장,2017-11-25,2.2,236.3
923,기장,2017-11-26,2.4,298.1
923,기장,2017-11-27,2,340.3
923,기장,2017-11-28,1.9,261.6
923,기장,2017-11-29,1.3,334.7
923,기장,2017-11-30,1.6,320.6
923,기장,2017-12-01,1.6,300.9
923,기장,2017-12-02,1.7,326.3
923,기장,2017-12-03,2.1,182.8
923,기장,2017-12-04,2.2,331.9
923,기장,2017-12-05,2.2,272.8
923,기장,2017-12-06,1.6,
923,기장,2017-12-07,1.7,275.6
923,기장,2017-12-08,2.2,300.9
923,기장,2017-12-09,1.6,227.8
923,기장,2017-12-10,1.9,281.3
923,기장,2017-12-11,2.7,300.9
923,기장,2017-12-12,2,261.6
923,기장,2017-12-13,1.8,340.3
923,기장,2017-12-14,2.1,312.2
923,기장,2017-12-15,2.1,205.3
923,기장,2017-12-16,1.8,270
923,기장,2017-12-17,1.8,281.3
923,기장,2017-12-18,1.8,337.5
923,기장,2017-12-19,1.5,236.3
923,기장,2017-12-20,1.7,312.2
923,기장,2017-12-21,1.9,284.1
923,기장,2017-12-22,1.5,317.8
923,기장,2017-12-23,1.6,194.1
923,기장,2017-12-24,2.2,284.1
923,기장,2017-12-25,2.2,340.3
923,기장,2017-12-26,1.8,295.3
923,기장,2017-12-27,1.9,329.1
923,기장,2017-12-28,1.5,343.1
923,기장,2017-12-29,1.4,329.1
923,기장,2017-12-30,1.7,258.8
923,기장,2017-12-31,2.1,354.4
923,기장,2018-01-01,2.1,281.3
923,기장,2018-01-02,2,244.7
923,기장,2018-01-03,1.3,334.7
923,기장,2018-01-04,1.6,5.6
923,기장,2018-01-05,1.5,2.8
923,기장,2018-01-06,1.8,340.3
923,기장,2018-01-07,1.6,329.1
923,기장,2018-01-08,1.6,278.4
923,기장,2018-01-09,3.6,315
923,기장,2018-01-10,2.1,306.6
923,기장,2018-01-11,2.3,258.8
923,기장,2018-01-12,1.9,303.8
923,기장,2018-01-13,2.1,315
923,기장,2018-01-14,1.7,326.3
