date,jungang_discharge_m3_day
2016-10-31,84963
2016-11-01,79743
2016-11-02,84491
2016-11-03,86741
2016-11-04,84078
2016-11-05,87243
2016-11-06,85738
2016-11-07,86541
2016-11-08,85910
2016-11-09,84464
2016-11-10,84165
2016-11-11,83156
2016-11-12,84946
2016-11-13,83873
2016-11-14,90223
2016-11-15,87932
2016-11-16,89962
2016-11-17,84277
2016-11-18,87397
2016-11-19,86842
2016-11-20,84780
2016-11-21,83896
2016-11-22,84131
2016-11-23,86880
2016-11-24,85303
2016-11-25,82742
2016-11-26,82040
2016-11-27,82049
2016-11-28,83383
2016-11-29,83422
2016-11-30,85235
2016-12-01,84383
2016-12-02,83036
2016-12-03,84843
2016-12-04,83056
2016-12-05,84214
2016-12-06,84204
2016-12-07,82147
2016-12-08,80125
2016-12-09,82410
2016-12-10,82605
2016-12-11,84276
2016-12-12,82904
2016-12-13,84965
2016-12-14,84674
2016-12-15,83085
2016-12-16,82148
2016-12-17,81474
2016-12-18,81482
2016-12-19,85274
2016-12-20,81113
2016-12-21,85249
2016-12-22,98861
2016-12-23,84382
2016-12-24,83010
2016-12-25,83201
2016-12-26,88214
2016-12-27,83849
2016-12-28,83020
2016-12-29,84051
2016-12-30,84276
2016-12-31,84573
2017-01-01,82873
2017-01-02,83058
2017-01-03,85127
2017-01-04,81842
2017-01-05,82653
2017-01-06,86952
2017-01-07,85075
2017-01-08,95131
2017-01-09,90024
2017-01-10,83398
2017-01-11,83050
2017-01-12,82257
2017-01-13,86081
2017-01-14,82207
2017-01-15,81106
2017-01-16,83414
2017-01-17,82779
2017-01-18,83400
2017-01-19,85169
2017-01-20,86729
2017-01-21,84631
2017-01-22,87130
2017-01-23,86189
2017-01-24,88823
2017-01-25,86119
2017-01-26,86742
2017-01-27,87922
2017-01-28,87482
2017-01-29,81871
2017-01-30,83613
2017-01-31,80327
2017-02-01,84009
2017-02-02,86811
2017-02-03,82932
2017-02-04,83349
2017-02-05,89606
2017-02-06,86750
2017-02-07,84386
2017-02-08,84037
2017-02-09,86492
2017-02-10,84965
2017-02-11,84954
2017-02-12,85429
2017-02-13,89759
2017-02-14,84365
2017-02-15,83792
2017-02-16,86107
2017-02-17,94055
2017-02-18,83787
2017-02-19,85004
2017-02-20,85080
2017-02-21,85078
2017-02-22,90242
2017-02-23,88187
2017-02-24,86546
2017-02-25,83111
2017-02-26,84151
2017-02-27,86888
2017-02-28,86027
2017-03-01,85750
2017-03-02,83494
2017-03-03,80053
2017-03-04,76927
2017-03-05,73325
2017-03-06,74041
2017-03-07,75105
2017-03-08,76405
2017-03-09,77938
2017-03-10,79491
2017-03-11,79482
2017-03-12,82611
2017-03-13,84209
2017-03-14,85317
2017-03-15,85358
2017-03-16,83941
2017-03-17,81966
2017-03-18,82097
2017-03-19,83011
2017-03-20,91226
2017-03-21,93816
2017-03-22,83406
2017-03-23,83168
2017-03-24,84045
2017-03-25,81396
2017-03-26,57798
2017-03-27,50043
2017-03-28,56567
2017-03-29,75260
2017-03-30,85140
2017-03-31,83320
2017-04-01,81320
2017-04-02,80370
2017-04-03,80890
2017-04-04,77855
2017-04-05,79210
2017-04-06,86890
2017-04-07,90632
2017-04-08,83974
2017-04-09,77870
2017-04-10,80798
2017-04-11,92113
2017-04-12,79553
2017-04-13,82322
2017-04-14,85800
2017-04-15,85683
2017-04-16,83615
2017-04-17,82036
2017-04-18,81480
2017-04-19,84563
2017-04-20,81501
2017-04-21,80340
2017-04-22,81981
2017-04-23,80466
2017-04-24,76877
2017-04-25,78130
2017-04-26,76749
2017-04-27,72020
2017-04-28,86322
2017-04-29,85400
2017-04-30,82590
2017-05-01,83820
2017-05-02,80967
2017-05-03,79910
2017-05-04,83250
2017-05-05,83855
2017-05-06,81915
2017-05-07,79770
2017-05-08,81017
2017-05-09,88072
2017-05-10,83577
2017-05-11,82298
2017-05-12,88202
2017-05-13,84010
2017-05-14,81535
2017-05-15,79694
2017-05-16,82791
2017-05-17,76065
2017-05-18,79362
2017-05-19,75193
2017-05-20,78881
2017-05-21,78479
2017-05-22,82745
2017-05-23,80045
2017-05-24,84093
2017-05-25,84128
2017-05-26,82261
2017-05-27,82209
2017-05-28,78237
2017-05-29,81551
2017-05-30,80541
2017-05-31,81802
2017-06-01,80666
2017-06-02,81198
2017-06-03,78942
2017-06-04,78413
2017-06-05,78767
2017-06-06,77450
2017-06-07,81429
2017-06-08,78092
2017-06-09,80358
2017-06-10,80517
2017-06-11,80080
2017-06-12,77579
2017-06-13,79266
2017-06-14,79757
2017-06-15,80913
2017-06-16,81171
2017-06-17,81321
2017-06-18,78674
2017-06-19,80785
2017-06-20,81218
2017-06-21,83360
2017-06-22,81720
2017-06-23,82380
2017-06-24,82975
2017-06-25,84607
2017-06-26,80406
2017-06-27,77364
2017-06-28,75641
2017-06-29,80310
2017-06-30,79781
2017-07-01,76459
2017-07-02,57009
2017-07-03,75734
2017-07-04,86466
2017-07-05,92467
2017-07-06,100425
2017-07-07,87492
2017-07-08,88655
2017-07-09,82488
2017-07-10,84715
2017-07-11,86428
2017-07-12,88845
2017-07-13,82920
2017-07-14,83834
2017-07-15,83290
2017-07-16,83097
2017-07-17,83552
2017-07-18,86998
2017-07-19,85059
2017-07-20,86234
2017-07-21,84559
2017-07-22,82847
2017-07-23,83467
2017-07-24,89912
2017-07-25,85953
2017-07-26,86205
2017-07-27,87488
2017-07-28,84760
2017-07-29,87331
2017-07-30,82829
2017-07-31,89966
2017-08-01,86930
2017-08-02,84252
2017-08-03,84391
2017-08-04,91100
2017-08-05,86063
2017-08-06,84061
2017-08-07,85675
2017-08-08,88137
2017-08-09,90268
2017-08-10,86715
2017-08-11,86119
2017-08-12,86771
2017-08-13,85500
2017-08-14,87985
2017-08-15,87920
2017-08-16,85910
2017-08-17,88067
2017-08-18,85782
2017-08-19,87714
2017-08-20,87355
2017-08-21,88136
2017-08-22,90573
2017-08-23,86633
2017-08-24,85549
2017-08-25,84709
2017-08-26,81464
2017-08-27,79897
2017-08-28,84158
2017-08-29,83412
2017-08-30,82470
2017-08-31,85517
2017-09-01,87503
2017-09-02,85539
2017-09-03,80583
2017-09-04,82226
2017-09-05,89304
2017-09-06,88117
2017-09-07,87709
2017-09-08,85969
2017-09-09,84875
2017-09-10,85604
2017-09-11,88086
2017-09-12,90041
2017-09-13,93746
2017-09-14,87766
2017-09-15,83707
2017-09-16,83056
2017-09-17,87549
2017-09-18,85780
2017-09-19,87497
2017-09-20,75387
2017-09-21,86725
2017-09-22,87860
2017-09-23,83037
2017-09-24,81280
2017-09-25,85546
2017-09-26,86003
2017-09-27,85860
2017-09-28,85456
2017-09-29,85120
2017-09-30,82509
2017-10-01,80170
2017-10-02,91913
2017-10-03,89631
2017-10-04,82871
2017-10-05,81677
2017-10-06,81994
2017-10-07,86862
2017-10-08,85473
2017-10-09,80231
2017-10-10,83695
2017-10-11,86311
2017-10-12,88621
2017-10-13,84583
2017-10-14,84189
2017-10-15,86212
2017-10-16,84883
2017-10-17,81326
2017-10-18,81206
2017-10-19,87581
2017-10-20,87148
2017-10-21,84883
2017-10-22,84433
2017-10-23,87011
2017-10-24,82643
