inspecYm,inspecDivision,inspecArea,water01,water02,waterComment,sample_date
20210810,개장중 8월 10일,송도2,5,265,적합,2021-08-10
20210810,개장중 8월 10일,송도3,0,197,적합,2021-08-10
20210831,개장중 8월 31일,송도1,0,292,적합,2021-08-31
20210831,개장중 8월 31일,송도2,10,309,적합,2021-08-31
20210831,개장중 8월 31일,송도3,26,327,적합,2021-08-31
20210929,폐장후 9월 29일,송도1,10,20,적합,2021-09-29
20210929,폐장후 9월 29일,송도2,10,135,적합,2021-09-29
20210929,폐장후 9월 29일,송도3,5,86,적합,2021-09-29
20220613,개장전 6월 13일,송도1,214,86,부적합,2022-06-13
20220613,개장전 6월 13일,송도2,16,0,부적합,2022-06-13
20220613,개장전 6월 13일,송도3,453,"1,483",부적합,2022-06-13
20220629,개장전 6월 29일,송도1,155,400,적합,2022-06-29
20220629,개장전 6월 29일,송도2,78,384,적합,2022-06-29
20220629,개장전 6월 29일,송도3,43,422,적합,2022-06-29
20220707,개장중 7월 7일,송도1,5,31,적합,2022-07-07
20220707,개장중 7월 7일,송도2,0,41,적합,2022-07-07
20220707,개장중 7월 7일,송도3,5,10,적합,2022-07-07
20220720,개장중 7월 20일,송도1,0,121,적합,2022-07-20
20220720,개장중 7월 20일,송도2,0,0,적합,2022-07-20
20220720,개장중 7월 20일,송도3,0,0,적합,2022-07-20
20220726,개장중 7월 26일,송도1,21,97,적합,2022-07-26
20220726,개장중 7월 26일,송도2,5,46,적합,2022-07-26
20220726,개장중 7월 26일,송도3,10,256,적합,2022-07-26
20220803,개장중 8월 3일,송도1,5,323,적합,2022-08-03
20220803,개장중 8월 3일,송도2,0,63,적합,2022-08-03
20220803,개장중 8월 3일,송도3,5,160,적합,2022-08-03
20220809,개장중 8월 9일,송도1,0,109,적합,2022-08-09
20220809,개장중 8월 9일,송도2,0,75,적합,2022-08-09
20220809,개장중 8월 9일,송도3,10,97,적합,2022-08-09
20220816,개장중 8월 16일,송도1,112,326,적합,2022-08-16
20220816,개장중 8월 16일,송도2,49,156,적합,2022-08-16
20220816,개장중 8월 16일,송도3,26,226,적합,2022-08-16
20220830,개장중 8월 30일,송도1,5,20,적합,2022-08-30
20220830,개장중 8월 30일,송도2,0,75,적합,2022-08-30
20220830,개장중 8월 30일,송도3,5,209,적합,2022-08-30
20220926,폐장후 9월 26일,송도1,10,41,적합,2022-09-26
20220926,폐장후 9월 26일,송도2,15,72,적합,2022-09-26
20220926,폐장후 9월 26일,송도3,31,84,적합,2022-09-26
20230607,개장전 6월 7일,송도1,0,31,적합,2023-06-07
20230607,개장전 6월 7일,송도2,0,0,적합,2023-06-07
20230607,개장전 6월 7일,송도3,0,0,적합,2023-06-07
20230704,개장중 7월 4일,송도-A1,64,52,적합,2023-07-04
20230704,개장중 7월 4일,송도-A2,77,52,적합,2023-07-04
20230704,개장중 7월 4일,송도-B1,53,10,적합,2023-07-04
20230704,개장중 7월 4일,송도-B2,26,10,적합,2023-07-04
20230704,개장중 7월 4일,송도-C1,31,31,적합,2023-07-04
20230704,개장중 7월 4일,송도-C2,26,31,적합,2023-07-04
20230719,개장중 7월 19일,송도-A1,296,"1,076",부적합,2023-07-19
20230719,개장중 7월 19일,송도-A2,291,771,부적합,2023-07-19
20230719,개장중 7월 19일,송도-B1,317,"1,267",부적합,2023-07-19
20230719,개장중 7월 19일,송도-B2,299,"1,223",부적합,2023-07-19
20230719,개장중 7월 19일,송도-C1,523,"1,989",부적합,2023-07-19
20230719,개장중 7월 19일,송도-C2,657,"1,376",부적합,2023-07-19
20230727,개장중 7월 27일,송도-A1,10,175,적합,2023-07-27
20230727,개장중 7월 27일,송도-A2,21,203,적합,2023-07-27
20230727,개장중 7월 27일,송도-B1,15,216,적합,2023-07-27
20230727,개장중 7월 27일,송도-B2,16,109,적합,2023-07-27
20230727,개장중 7월 27일,송도-C1,31,185,적합,2023-07-27
20230727,개장중 7월 27일,송도-C2,21,231,적합,2023-07-27
20230801,개장중 8월 1일,송도-A1,5,41,적합,2023-08-01
20230801,개장중 8월 1일,송도-A2,16,63,적합,2023-08-01
20230801,개장중 8월 1일,송도-B1,21,52,적합,2023-08-01
20230801,개장중 8월 1일,송도-B2,49,63,적합,2023-08-01
20230801,개장중 8월 1일,송도-C1,16,218,적합,2023-08-01
20230801,개장중 8월 1일,송도-C2,15,63,적합,2023-08-01
20230808,개장중 8월 8일,송도-A1,5,905,적합,2023-08-08
20230808,개장중 8월 8일,송도-A2,0,932,적합,2023-08-08
20230808,개장중 8월 8일,송도-B1,5,479,적합,2023-08-08
20230808,개장중 8월 8일,송도-B2,5,479,적합,2023-08-08
20230808,개장중 8월 8일,송도-C1,0,282,적합,2023-08-08
