date,wind_max,wind_dir
2017-02-15,13.7,297
2017-02-16,22.0,250
2017-02-17,26.8,294
2017-02-18,26.6,322
2017-02-19,30.0,237
2017-02-20,30.0,293
2017-02-21,21.9,23
2017-02-22,32.4,165
2017-02-23,33.5,320
2017-02-24,26.0,327
2017-02-25,16.6,283
2017-02-26,17.7,18
2017-02-27,19.2,49
2017-02-28,15.9,254
2017-03-01,18.1,229
2017-03-02,29.0,319
2017-03-03,16.7,297
2017-03-04,13.0,265
2017-03-05,10.2,270
2017-03-06,28.8,322
2017-03-07,24.7,300
2017-03-08,26.1,297
2017-03-09,24.4,269
2017-03-10,18.8,298
2017-03-11,16.6,354
2017-03-12,15.0,239
2017-03-13,25.2,43
2017-03-14,20.0,41
2017-03-15,20.9,25
2017-03-16,15.5,253
2017-03-17,13.3,66
2017-03-18,11.0,291
2017-03-19,22.7,46
2017-03-20,20.4,43
2017-03-21,34.0,356
2017-03-22,15.7,267
2017-03-23,22.5,43
2017-03-24,21.5,70
2017-03-25,18.5,88
2017-03-26,11.5,335
2017-03-27,20.6,304
2017-03-28,23.2,255
2017-03-29,11.3,346
2017-03-30,20.7,39
2017-03-31,25.6,44
2017-04-01,14.9,33
2017-04-02,19.3,356
2017-04-03,18.1,290
2017-04-04,17.2,259
2017-04-05,32.5,184
2017-04-06,37.2,213
2017-04-07,23.7,55
2017-04-08,13.6,237
2017-04-09,31.2,52
2017-04-10,34.7,57
2017-04-11,21.6,337
2017-04-12,28.5,322
2017-04-13,18.6,254
2017-04-14,33.8,221
2017-04-15,22.4,233
2017-04-16,13.7,238
2017-04-17,25.9,198
2017-04-18,26.7,236
2017-04-19,24.8,279
2017-04-20,13.3,255
2017-04-21,17.1,30
2017-04-22,19.9,66
2017-04-23,12.7,198
2017-04-24,15.4,212
2017-04-25,19.8,217
2017-04-26,13.3,57
2017-04-27,21.4,308
2017-04-28,26.5,242
2017-04-29,22.5,251
2017-04-30,27.8,238
2017-05-01,26.6,62
2017-05-02,23.6,63
2017-05-03,13.2,89
2017-05-04,17.4,101
2017-05-05,16.2,228
2017-05-06,18.7,292
2017-05-07,30.4,257
2017-05-08,17.6,249
2017-05-09,26.9,80
2017-05-10,18.2,260
2017-05-11,21.1,234
2017-05-12,20.9,104
2017-05-13,23.3,236
2017-05-14,25.5,256
2017-05-15,20.7,286
2017-05-16,19.1,314
2017-05-17,11.2,91
2017-05-18,17.7,223
2017-05-19,21.4,253
2017-05-20,22.4,251
2017-05-21,15.1,233
2017-05-22,16.9,212
2017-05-23,16.7,212
2017-05-24,18.2,106
2017-05-25,21.9,255
2017-05-26,24.3,137
2017-05-27,26.4,201
2017-05-28,22.7,224
2017-05-29,18.8,245
2017-05-30,13.5,219
2017-05-31,20.5,216
2017-06-01,19.3,235
2017-06-02,21.0,121
2017-06-03,24.3,172
2017-06-04,21.3,98
2017-06-05,26.9,69
2017-06-06,19.1,85
2017-06-07,33.1,199
2017-06-08,19.1,293
2017-06-09,20.6,248
2017-06-10,20.2,235
2017-06-11,23.1,59
2017-06-12,24.1,64
2017-06-13,16.3,85
2017-06-14,20.6,225
2017-06-15,19.1,289
2017-06-16,23.7,62
2017-06-17,19.8,77
2017-06-18,16.5,158
2017-06-19,19.6,204
2017-06-20,19.2,120
2017-06-21,20.8,148
2017-06-22,19.8,215
2017-06-23,12.1,160
2017-06-24,15.9,99
2017-06-25,14.6,93
2017-06-26,16.5,97
2017-06-27,17.4,88
2017-06-28,12.7,194
2017-06-29,13.8,199
2017-06-30,21.2,217
2017-07-01,22.1,226
2017-07-02,22.1,221
2017-07-03,28.6,226
2017-07-04,19.5,247
2017-07-05,14.0,137
2017-07-06,18.2,207
2017-07-07,21.8,220
2017-07-08,17.6,214
2017-07-09,19.5,214
2017-07-10,32.5,208
2017-07-11,30.8,224
2017-07-12,17.7,255
2017-07-13,18.9,221
2017-07-14,16.8,227
2017-07-15,20.7,219
2017-07-16,22.6,238
2017-07-17,19.5,247
2017-07-18,17.6,244
2017-07-19,18.6,258
2017-07-20,17.4,189
2017-07-21,16.9,227
2017-07-22,15.5,210
2017-07-23,15.0,215
2017-07-24,12.3,235
2017-07-25,21.2,54
2017-07-26,26.3,54
2017-07-27,15.9,62
2017-07-28,12.3,169
2017-07-29,21.1,66
2017-07-30,14.1,86
2017-07-31,13.0,69
2017-08-01,17.4,73
2017-08-02,22.3,67
2017-08-03,20.9,62
2017-08-04,19.6,65
2017-08-05,19.1,65
2017-08-06,18.9,55
2017-08-07,14.1,25
2017-08-08,21.3,243
2017-08-09,12.8,127
