2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년,2025년,시군구,시도,해수욕장명
16093.0,15336.0,10065.0,13428.0,15573.0,16128.0,30264.0,23294.0,14006.0,6909.0,13252.0,여수시,전남,무슬목
35155.0,37370.0,19089.0,32660.0,20616.0,17000.0,19651.0,17782.0,14748.0,25142.0,5383.0,여수시,전남,방죽포
4450.0,7673.0,7372.0,11047.0,9146.0,2312.0,2461.0,4559.0,3110.0,5083.0,1823.0,여수시,전남,안도
38035.0,64030.0,73840.0,33804.0,42193.0,40132.0,38041.0,42177.0,52629.0,75651.0,63142.0,여수시,전남,웅천
2053.0,7405.0,4942.0,6692.0,9259.0,7237.0,9459.0,4064.0,5147.0,3564.0,3165.0,여수시,전남,장등
,,,,,,,2983.0,4941.0,3318.0,2028.0,여수시,전남,낭도
,,,,,,,,,,,여수시,전남,대풍
,,,,,,,,,,,여수시,전남,사도
,,,,,,,,,,,여수시,전남,서도
,,,,,,,,,,,여수시,전남,정강
,,,,,,,,,,,여수시,전남,손죽
,,,,,,,,,,,여수시,전남,신덕
16230.0,35280.0,36505.0,27151.0,26547.0,22342.0,20541.0,24063.0,26140.0,25030.0,18350.0,영광군,전남,가마미
480.0,522.0,923.0,769.0,900.0,1142.0,723.0,975.0,629.0,410.0,325.0,영광군,전남,송이도
29330.0,13770.0,2879.0,3650.0,2146.0,4591.0,,2021.0,2010.0,2327.0,2169.0,완도군,전남,금일명사십리
9830.0,7290.0,5620.0,2177.0,6209.0,3131.0,1181.0,2218.0,2649.0,1491.0,1087.0,완도군,전남,보길예송
4635.0,4078.0,3820.0,1220.0,3150.0,1117.0,1297.0,1895.0,1787.0,1335.0,934.0,완도군,전남,보길중리
1747.0,1806.0,1163.0,759.0,1153.0,749.0,420.0,436.0,726.0,1211.0,957.0,완도군,전남,보길통리
3860.0,5087.0,4230.0,845.0,661.0,1803.0,3333.0,2976.0,2656.0,1704.0,1275.0,완도군,전남,생일금곡
2770.0,1994.0,2849.0,1269.0,1001.0,2797.0,3142.0,1296.0,1727.0,2363.0,685.0,완도군,전남,신지동고
