date,gijang_discharge_m3_day,jeonggwan_discharge_m3_day,munoseong_discharge_m3_day
2015-04-11,28699.0,18457.0,506
2015-04-12,28497.0,18160.0,558
2015-04-13,26763.0,20813.0,802
2015-04-14,26587.0,22294.0,651
2015-04-15,26547.0,19857.0,536
2015-04-16,23624.0,19064.0,579
2015-04-17,27640.0,18243.0,579
2015-04-18,28936.0,19467.0,595
2015-04-19,27608.0,24965.0,646
2015-04-20,27256.0,26978.0,911
2015-04-21,24367.0,23510.0,638
2015-04-22,25037.0,19420.0,550
2015-04-23,23095.0,20568.0,614
2015-04-24,20938.0,19500.0,573
2015-04-25,20197.0,18631.0,580
2015-04-26,21146.0,19226.0,598
2015-04-27,23905.0,19022.0,622
2015-04-28,23983.0,18665.0,495
2015-04-29,24699.0,19350.0,546
2015-04-30,23309.0,17462.0,568
2015-05-01,22319.0,19257.0,622
2015-05-02,21947.0,17753.0,566
2015-05-03,19326.0,22740.0,860
2015-05-04,21662.0,20929.0,842
2015-05-05,23118.0,17838.0,579
2015-05-06,23119.0,19428.0,557
2015-05-07,23024.0,18108.0,559
2015-05-08,24665.0,18818.0,570
2015-05-09,25366.0,18547.0,567
2015-05-10,26297.0,18534.0,587
2015-05-11,25791.0,20975.0,781
2015-05-12,28340.0,33265.0,1244
2015-05-13,25983.0,21214.0,744
2015-05-14,26982.0,19793.0,682
2015-05-15,26298.0,20245.0,665
2015-05-16,24955.0,19238.0,594
2015-05-17,28622.0,19524.0,637
2015-05-18,27500.0,21748.0,782
2015-05-19,27815.0,21226.0,607
2015-05-20,27270.0,19718.0,574
2015-05-21,28315.0,18298.0,590
2015-05-22,24070.0,18530.0,602
2015-05-23,24134.0,19476.0,591
2015-05-24,24935.0,17552.0,622
2015-05-25,24643.0,18258.0,636
2015-05-26,24280.0,19160.0,571
2015-05-27,24066.0,18910.0,496
2015-05-28,26126.0,18869.0,567
2015-05-29,24023.0,18706.0,540
2015-05-30,22351.0,19004.0,578
2015-05-31,23362.0,19272.0,593
2015-06-01,21946.0,19628.0,523
2015-06-02,22518.0,18097.0,479
2015-06-03,22585.0,18913.0,489
2015-06-04,21808.0,19289.0,555
2015-06-05,24058.0,18412.0,572
2015-06-06,22230.0,19350.0,568
2015-06-07,22557.0,18370.0,528
2015-06-08,24286.0,20332.0,570
2015-06-09,22667.0,18826.0,472
2015-06-10,23093.0,19747.0,507
2015-06-11,22630.0,19686.0,523
2015-06-12,22193.0,20278.0,541
2015-06-13,22315.0,20951.0,514
2015-06-14,23183.0,21071.0,613
2015-06-15,22968.0,20473.0,597
2015-06-16,22278.0,20941.0,468
2015-06-17,25617.0,20068.0,440
2015-06-18,22938.0,19884.0,503
2015-06-19,22869.0,20705.0,558
2015-06-20,24036.0,20677.0,505
2015-06-21,24612.0,19711.0,549
2015-06-22,24197.0,20348.0,565
2015-06-23,24559.0,20890.0,478
2015-06-24,24744.0,20627.0,486
2015-06-25,25422.0,21055.0,732
2015-06-26,25420.0,23785.0,812
2015-06-27,24242.0,21712.0,634
2015-06-28,22775.0,19576.0,595
2015-06-29,23543.0,20674.0,572
2015-06-30,24148.0,22227.0,615
2015-07-01,25617.0,22248.0,633
2015-07-02,24178.0,20883.0,628
2015-07-03,24640.0,21175.0,598
2015-07-04,24296.0,19895.0,600
2015-07-05,24103.0,20056.0,607
2015-07-06,24019.0,20913.0,628
2015-07-07,28288.0,22030.0,691
2015-07-08,29322.0,30608.0,1299
2015-07-09,27506.0,33127.0,1264
2015-07-10,26397.0,24413.0,902
2015-07-11,26812.0,23137.0,722
2015-07-12,26392.0,29789.0,956
2015-07-13,25380.0,28187.0,1014
2015-07-14,23265.0,25584.0,674
2015-07-15,21787.0,23893.0,687
2015-07-16,21988.0,20254.0,678
2015-07-17,23246.0,19744.0,632
2015-07-18,25145.0,20562.0,641
2015-07-19,25845.0,19275.0,645
2015-07-20,24332.0,19923.0,686
2015-07-21,24773.0,19470.0,545
2015-07-22,27113.0,21069.0,594
2015-07-23,25435.0,25313.0,802
2015-07-24,25574.0,22339.0,689
2015-07-25,26784.0,23696.0,637
2015-07-26,26314.0,22232.0,632
2015-07-27,26930.0,21723.0,583
2015-07-28,27390.0,21068.0,499
2015-07-29,27013.0,21493.0,525
2015-07-30,26441.0,21551.0,578
2015-07-31,25720.0,20854.0,579
2015-08-01,26373.0,19234.0,607
2015-08-02,25586.0,18593.0,706
2015-08-03,24902.0,20136.0,680
2015-08-04,24182.0,20576.0,549
2015-08-05,23872.0,20923.0,490
2015-08-06,23576.0,21808.0,473
2015-08-07,23708.0,21970.0,497
2015-08-08,24006.0,22810.0,461
2015-08-09,24465.0,20624.0,522
2015-08-10,22822.0,20690.0,496
2015-08-11,23133.0,22280.0,483
2015-08-12,26081.0,20213.0,544
2015-08-13,22523.0,21235.0,508
2015-08-14,21204.0,21783.0,491
2015-08-15,21102.0,20990.0,579
2015-08-16,23240.0,20839.0,521
2015-08-17,22383.0,22458.0,467
2015-08-18,21739.0,21763.0,404
2015-08-19,21610.0,22411.0,513
2015-08-20,21645.0,23045.0,596
2015-08-21,30654.0,27356.0,982
2015-08-22,30076.0,23524.0,676
2015-08-23,26597.0,23155.0,629
2015-08-24,26185.0,22345.0,629
2015-08-25,26607.0,33421.0,1092
2015-08-26,25514.0,27654.0,844
2015-08-27,24875.0,23757.0,792
2015-08-28,25535.0,23098.0,801
2015-08-29,25609.0,22833.0,727
2015-08-30,24675.0,22282.0,742
2015-08-31,23947.0,23071.0,684
2015-09-01,26027.0,28188.0,1245
2015-09-02,26056.0,23996.0,857
2015-09-03,25745.0,23432.0,893
2015-09-04,24206.0,23505.0,729
2015-09-05,26235.0,23981.0,702
2015-09-06,29346.0,31192.0,1292
2015-09-07,25907.0,25982.0,717
2015-09-08,24485.0,24804.0,686
2015-09-09,26936.0,24035.0,621
2015-09-10,26161.0,23335.0,686
2015-09-11,25376.0,22907.0,652
2015-09-12,25653.0,23130.0,662
2015-09-13,23572.0,22815.0,653
2015-09-14,22800.0,23080.0,627
2015-09-15,23124.0,22825.0,487
2015-09-16,25662.0,23919.0,572
2015-09-17,30062.0,28972.0,1128
2015-09-18,24836.0,25598.0,768
2015-09-19,24225.0,24667.0,712
2015-09-20,25875.0,24401.0,656
2015-09-21,26513.0,22731.0,558
2015-09-22,26755.0,21126.0,462
2015-09-23,28593.0,21734.0,750
2015-09-24,28499.0,26987.0,1006
2015-09-25,24250.0,22700.0,738
2015-09-26,27997.0,20565.0,871
2015-09-27,27290.0,15036.0,758
2015-09-28,28383.0,18245.0,704
2015-09-29,26922.0,19522.0,652
2015-09-30,25203.0,19584.0,720
2015-10-01,27071.0,24318.0,958
2015-10-02,27396.0,24429.0,702
2015-10-03,26805.0,21993.0,586
