date,gijang_discharge_m3_day,jeonggwan_discharge_m3_day
2015-06-06,22230.0,19350
2015-06-07,22557.0,18370
2015-06-08,24286.0,20332
2015-06-09,22667.0,18826
2015-06-10,23093.0,19747
2015-06-11,22630.0,19686
2015-06-12,22193.0,20278
2015-06-13,22315.0,20951
2015-06-14,23183.0,21071
2015-06-15,22968.0,20473
2015-06-16,22278.0,20941
2015-06-17,25617.0,20068
2015-06-18,22938.0,19884
2015-06-19,22869.0,20705
2015-06-20,24036.0,20677
2015-06-21,24612.0,19711
2015-06-22,24197.0,20348
2015-06-23,24559.0,20890
2015-06-24,24744.0,20627
2015-06-25,25422.0,21055
2015-06-26,25420.0,23785
2015-06-27,24242.0,21712
2015-06-28,22775.0,19576
2015-06-29,23543.0,20674
2015-06-30,24148.0,22227
2015-07-01,25617.0,22248
2015-07-02,24178.0,20883
2015-07-03,24640.0,21175
2015-07-04,24296.0,19895
2015-07-05,24103.0,20056
2015-07-06,24019.0,20913
2015-07-07,28288.0,22030
2015-07-08,29322.0,30608
2015-07-09,27506.0,33127
2015-07-10,26397.0,24413
2015-07-11,26812.0,23137
2015-07-12,26392.0,29789
2015-07-13,25380.0,28187
2015-07-14,23265.0,25584
2015-07-15,21787.0,23893
2015-07-16,21988.0,20254
2015-07-17,23246.0,19744
2015-07-18,25145.0,20562
2015-07-19,25845.0,19275
2015-07-20,24332.0,19923
2015-07-21,24773.0,19470
2015-07-22,27113.0,21069
2015-07-23,25435.0,25313
2015-07-24,25574.0,22339
2015-07-25,26784.0,23696
2015-07-26,26314.0,22232
2015-07-27,26930.0,21723
2015-07-28,27390.0,21068
2015-07-29,27013.0,21493
2015-07-30,26441.0,21551
2015-07-31,25720.0,20854
2015-08-01,26373.0,19234
2015-08-02,25586.0,18593
2015-08-03,24902.0,20136
2015-08-04,24182.0,20576
2015-08-05,23872.0,20923
2015-08-06,23576.0,21808
2015-08-07,23708.0,21970
2015-08-08,24006.0,22810
2015-08-09,24465.0,20624
2015-08-10,22822.0,20690
2015-08-11,23133.0,22280
2015-08-12,26081.0,20213
2015-08-13,22523.0,21235
2015-08-14,21204.0,21783
2015-08-15,21102.0,20990
2015-08-16,23240.0,20839
2015-08-17,22383.0,22458
2015-08-18,21739.0,21763
2015-08-19,21610.0,22411
2015-08-20,21645.0,23045
2015-08-21,30654.0,27356
2015-08-22,30076.0,23524
2015-08-23,26597.0,23155
2015-08-24,26185.0,22345
2015-08-25,26607.0,33421
2015-08-26,25514.0,27654
2015-08-27,24875.0,23757
2015-08-28,25535.0,23098
2015-08-29,25609.0,22833
2015-08-30,24675.0,22282
2015-08-31,23947.0,23071
2015-09-01,26027.0,28188
2015-09-02,26056.0,23996
2015-09-03,25745.0,23432
2015-09-04,24206.0,23505
2015-09-05,26235.0,23981
2015-09-06,29346.0,31192
2015-09-07,25907.0,25982
2015-09-08,24485.0,24804
2015-09-09,26936.0,24035
2015-09-10,26161.0,23335
2015-09-11,25376.0,22907
2015-09-12,25653.0,23130
2015-09-13,23572.0,22815
2015-09-14,22800.0,23080
2015-09-15,23124.0,22825
2015-09-16,25662.0,23919
2015-09-17,30062.0,28972
2015-09-18,24836.0,25598
2015-09-19,24225.0,24667
2015-09-20,25875.0,24401
2015-09-21,26513.0,22731
2015-09-22,26755.0,21126
2015-09-23,28593.0,21734
2015-09-24,28499.0,26987
2015-09-25,24250.0,22700
2015-09-26,27997.0,20565
2015-09-27,27290.0,15036
2015-09-28,28383.0,18245
2015-09-29,26922.0,19522
2015-09-30,25203.0,19584
2015-10-01,27071.0,24318
2015-10-02,27396.0,24429
2015-10-03,26805.0,21993
2015-10-04,27045.0,19719
2015-10-05,27836.0,19709
2015-10-06,26780.0,20003
2015-10-07,27060.0,19172
2015-10-08,26997.0,20171
2015-10-09,27405.0,18899
2015-10-10,26115.0,19082
2015-10-11,25031.0,19323
2015-10-12,24932.0,19327
2015-10-13,24383.0,19074
2015-10-14,24575.0,20617
2015-10-15,24658.0,20622
2015-10-16,24217.0,19516
2015-10-17,24471.0,20036
2015-10-18,24867.0,19877
2015-10-19,25609.0,19862
2015-10-20,25797.0,19877
2015-10-21,24618.0,20189
2015-10-22,24087.0,19499
2015-10-23,25465.0,19675
