date,examinLcDetail,ecoli_max,enterococcus_max,ecoli_exceed,enterococcus_exceed,any_exceed,precip_daily,temp_daily,wind_max,wind_dir,solar_radiation_sum,dongbu_discharge_m3_day,haeundae_sewage_discharge_m3_day,송정_정점명,송정_정점코드,송정_유속(cm/s),송정_유향(deg),송정_수온(℃),송정_염분(PSU),송정_유의파고(m),송정_유의파주기(sec),송정_최대파고(m),송정_최대파주기(sec),송정_풍속(m/s),송정_풍향(deg),송정_기온(℃),송정_기압(hPa),송정_시정(m),year,month,is_weekend,precip_1d_lag,precip_2d_sum_lag,precip_3d_sum_lag,precip_5d_sum_lag,CSO_Flag_Rain,dry_days_count,temp_1d_lag,wind_max_1d_lag,solar_radiation_1d_lag,dongbu_discharge_1d_lag,dongbu_discharge_3d_mean,haeundae_sewage_discharge_1d_lag,haeundae_sewage_discharge_3d_mean,송정_유속(cm/s)_1d_lag,송정_수온(℃)_1d_lag,송정_유의파고(m)_1d_lag,송정_유의파주기(sec)_1d_lag,송정_최대파고(m)_1d_lag,송정_최대파주기(sec)_1d_lag,송정_풍속(m/s)_1d_lag,송정_풍향(deg)_1d_lag
2016-06-27,A,20.0,5.0,False,False,0,0.8,21.1,13.1,215,11.33,,39250,,,,,,,,,,,,,,,,2016,6,0,0.0,0.0,11.2,55.2,0,0,22.2,12.1,25.77,,,42899.0,41106.0,,,,,,,,
2016-06-27,B,52.0,10.0,False,False,0,0.8,21.1,13.1,215,11.33,,39250,,,,,,,,,,,,,,,,2016,6,0,0.0,0.0,11.2,55.2,0,0,22.2,12.1,25.77,,,42899.0,41106.0,,,,,,,,
2016-06-27,C,1.0,1.0,False,False,0,0.8,21.1,13.1,215,11.33,,39250,,,,,,,,,,,,,,,,2016,6,0,0.0,0.0,11.2,55.2,0,0,22.2,12.1,25.77,,,42899.0,41106.0,,,,,,,,
2016-06-27,D,160.0,5.0,False,False,0,0.8,21.1,13.1,215,11.33,,39250,,,,,,,,,,,,,,,,2016,6,0,0.0,0.0,11.2,55.2,0,0,22.2,12.1,25.77,,,42899.0,41106.0,,,,,,,,
2016-06-27,E,140.0,10.0,False,False,0,0.8,21.1,13.1,215,11.33,,39250,,,,,,,,,,,,,,,,2016,6,0,0.0,0.0,11.2,55.2,0,0,22.2,12.1,25.77,,,42899.0,41106.0,,,,,,,,
2016-07-11,A,340.0,55.0,False,False,0,4.5,24.5,14.8,170,10.2,,40196,,,,,,,,,,,,,,,,2016,7,0,0.0,0.0,2.7,5.2,1,0,24.8,10.7,20.56,,,38495.0,39149.666666666664,,,,,,,,
2016-07-11,B,230.0,37.0,False,False,0,4.5,24.5,14.8,170,10.2,,40196,,,,,,,,,,,,,,,,2016,7,0,0.0,0.0,2.7,5.2,1,0,24.8,10.7,20.56,,,38495.0,39149.666666666664,,,,,,,,
2016-07-11,C,420.0,68.0,False,False,0,4.5,24.5,14.8,170,10.2,,40196,,,,,,,,,,,,,,,,2016,7,0,0.0,0.0,2.7,5.2,1,0,24.8,10.7,20.56,,,38495.0,39149.666666666664,,,,,,,,
2016-07-11,D,250.0,16.0,False,False,0,4.5,24.5,14.8,170,10.2,,40196,,,,,,,,,,,,,,,,2016,7,0,0.0,0.0,2.7,5.2,1,0,24.8,10.7,20.56,,,38495.0,39149.666666666664,,,,,,,,
2016-07-11,E,86.0,5.0,False,False,0,4.5,24.5,14.8,170,10.2,,40196,,,,,,,,,,,,,,,,2016,7,0,0.0,0.0,2.7,5.2,1,0,24.8,10.7,20.56,,,38495.0,39149.666666666664,,,,,,,,
2016-07-19,A,320.0,66.0,False,False,0,0.0,24.0,16.2,83,20.88,,37450,,,,,,,,,,,,,,,,2016,7,0,0.0,0.0,6.000000000000001,7.300000000000001,0,3,24.3,9.2,22.7,,,37166.0,39002.666666666664,,,,,,,,
2016-07-19,B,170.0,76.0,False,False,0,0.0,24.0,16.2,83,20.88,,37450,,,,,,,,,,,,,,,,2016,7,0,0.0,0.0,6.000000000000001,7.300000000000001,0,3,24.3,9.2,22.7,,,37166.0,39002.666666666664,,,,,,,,
2016-07-19,C,120.0,38.0,False,False,0,0.0,24.0,16.2,83,20.88,,37450,,,,,,,,,,,,,,,,2016,7,0,0.0,0.0,6.000000000000001,7.300000000000001,0,3,24.3,9.2,22.7,,,37166.0,39002.666666666664,,,,,,,,
2016-07-19,D,97.0,32.0,False,False,0,0.0,24.0,16.2,83,20.88,,37450,,,,,,,,,,,,,,,,2016,7,0,0.0,0.0,6.000000000000001,7.300000000000001,0,3,24.3,9.2,22.7,,,37166.0,39002.666666666664,,,,,,,,
2016-07-19,E,160.0,21.0,False,False,0,0.0,24.0,16.2,83,20.88,,37450,,,,,,,,,,,,,,,,2016,7,0,0.0,0.0,6.000000000000001,7.300000000000001,0,3,24.3,9.2,22.7,,,37166.0,39002.666666666664,,,,,,,,
2016-07-26,A,120.0,1.0,False,False,0,0.7,26.9,18.3,225,21.89,,37544,,,,,,,,,,,,,,,,2016,7,0,4.2,4.9,4.900000000000001,4.9,0,0,26.6,11.6,16.12,,,38358.0,38273.0,,,,,,,,
2016-07-26,B,86.0,5.0,False,False,0,0.7,26.9,18.3,225,21.89,,37544,,,,,,,,,,,,,,,,2016,7,0,4.2,4.9,4.900000000000001,4.9,0,0,26.6,11.6,16.12,,,38358.0,38273.0,,,,,,,,
2016-07-26,C,97.0,10.0,False,False,0,0.7,26.9,18.3,225,21.89,,37544,,,,,,,,,,,,,,,,2016,7,0,4.2,4.9,4.900000000000001,4.9,0,0,26.6,11.6,16.12,,,38358.0,38273.0,,,,,,,,
2016-07-26,D,97.0,15.0,False,False,0,0.7,26.9,18.3,225,21.89,,37544,,,,,,,,,,,,,,,,2016,7,0,4.2,4.9,4.900000000000001,4.9,0,0,26.6,11.6,16.12,,,38358.0,38273.0,,,,,,,,
2016-07-26,E,20.0,1.0,False,False,0,0.7,26.9,18.3,225,21.89,,37544,,,,,,,,,,,,,,,,2016,7,0,4.2,4.9,4.900000000000001,4.9,0,0,26.6,11.6,16.12,,,38358.0,38273.0,,,,,,,,
2016-08-09,A,31.0,10.0,False,False,0,0.1,27.6,17.1,51,18.69,,39764,,,,,,,,,,,,,,,,2016,8,0,1.0,1.0,1.0000000000000036,1.4,0,0,29.0,6.9,23.25,,,37756.0,37991.666666666664,,,,,,,,
2016-08-09,C,31.0,,False,False,0,0.1,27.6,17.1,51,18.69,,39764,,,,,,,,,,,,,,,,2016,8,0,1.0,1.0,1.0000000000000036,1.4,0,0,29.0,6.9,23.25,,,37756.0,37991.666666666664,,,,,,,,
2016-08-09,D,10.0,,False,False,0,0.1,27.6,17.1,51,18.69,,39764,,,,,,,,,,,,,,,,2016,8,0,1.0,1.0,1.0000000000000036,1.4,0,0,29.0,6.9,23.25,,,37756.0,37991.666666666664,,,,,,,,
