관리구군명,관리기관명,방문객수(명),방문일,연번,연도
부산광역시 해운대구,관광시설관리사업소,247941,2020-08-01,62,2020
부산광역시 해운대구,관광시설관리사업소,277656,2020-08-02,63,2020
부산광역시 해운대구,관광시설관리사업소,258034,2020-08-03,64,2020
부산광역시 해운대구,관광시설관리사업소,246333,2020-08-04,65,2020
부산광역시 해운대구,관광시설관리사업소,243453,2020-08-05,66,2020
부산광역시 해운대구,관광시설관리사업소,235457,2020-08-06,67,2020
부산광역시 해운대구,관광시설관리사업소,232047,2020-08-07,68,2020
부산광역시 해운대구,관광시설관리사업소,231085,2020-08-08,69,2020
부산광역시 해운대구,관광시설관리사업소,232622,2020-08-09,70,2020
부산광역시 해운대구,관광시설관리사업소,232181,2020-08-10,71,2020
부산광역시 해운대구,관광시설관리사업소,210814,2020-08-11,72,2020
부산광역시 해운대구,관광시설관리사업소,221131,2020-08-12,73,2020
부산광역시 해운대구,관광시설관리사업소,225025,2020-08-13,74,2020
부산광역시 해운대구,관광시설관리사업소,235920,2020-08-14,75,2020
부산광역시 해운대구,관광시설관리사업소,249119,2020-08-15,76,2020
부산광역시 해운대구,관광시설관리사업소,267413,2020-08-16,77,2020
부산광역시 해운대구,관광시설관리사업소,99271,2020-08-17,78,2020
부산광역시 해운대구,관광시설관리사업소,40535,2020-08-18,79,2020
부산광역시 해운대구,관광시설관리사업소,35475,2020-08-19,80,2020
부산광역시 해운대구,관광시설관리사업소,34486,2020-08-20,81,2020
부산광역시 해운대구,관광시설관리사업소,33280,2020-08-21,82,2020
부산광역시 해운대구,관광시설관리사업소,32853,2020-08-22,83,2020
부산광역시 해운대구,관광시설관리사업소,33601,2020-08-23,84,2020
부산광역시 해운대구,관광시설관리사업소,28727,2020-08-24,85,2020
부산광역시 해운대구,관광시설관리사업소,26560,2020-08-25,86,2020
부산광역시 해운대구,관광시설관리사업소,25498,2020-08-26,87,2020
부산광역시 해운대구,관광시설관리사업소,22465,2020-08-27,88,2020
부산광역시 해운대구,관광시설관리사업소,23900,2020-08-28,89,2020
부산광역시 해운대구,관광시설관리사업소,24388,2020-08-29,90,2020
부산광역시 해운대구,관광시설관리사업소,25083,2020-08-30,91,2020
부산광역시 해운대구,관광시설관리사업소,22234,2020-08-31,92,2020
부산광역시 해운대구,관광시설관리사업소,28423,2021-06-01,1,2021
부산광역시 해운대구,관광시설관리사업소,29540,2021-06-02,2,2021
부산광역시 해운대구,관광시설관리사업소,28603,2021-06-03,3,2021
부산광역시 해운대구,관광시설관리사업소,27336,2021-06-04,4,2021
부산광역시 해운대구,관광시설관리사업소,37173,2021-06-05,5,2021
부산광역시 해운대구,관광시설관리사업소,46514,2021-06-06,6,2021
부산광역시 해운대구,관광시설관리사업소,39360,2021-06-07,7,2021
부산광역시 해운대구,관광시설관리사업소,30006,2021-06-08,8,2021
부산광역시 해운대구,관광시설관리사업소,30346,2021-06-09,9,2021
부산광역시 해운대구,관광시설관리사업소,31145,2021-06-10,10,2021
부산광역시 해운대구,관광시설관리사업소,30427,2021-06-11,11,2021
부산광역시 해운대구,관광시설관리사업소,30220,2021-06-12,12,2021
부산광역시 해운대구,관광시설관리사업소,41412,2021-06-13,13,2021
부산광역시 해운대구,관광시설관리사업소,40416,2021-06-14,14,2021
부산광역시 해운대구,관광시설관리사업소,31212,2021-06-15,15,2021
부산광역시 해운대구,관광시설관리사업소,26296,2021-06-16,16,2021
부산광역시 해운대구,관광시설관리사업소,29250,2021-06-17,17,2021
부산광역시 해운대구,관광시설관리사업소,32045,2021-06-18,18,2021
부산광역시 해운대구,관광시설관리사업소,40401,2021-06-19,19,2021
부산광역시 해운대구,관광시설관리사업소,57311,2021-06-20,20,2021
부산광역시 해운대구,관광시설관리사업소,45026,2021-06-21,21,2021
부산광역시 해운대구,관광시설관리사업소,35757,2021-06-22,22,2021
부산광역시 해운대구,관광시설관리사업소,35337,2021-06-23,23,2021
부산광역시 해운대구,관광시설관리사업소,36627,2021-06-24,24,2021
부산광역시 해운대구,관광시설관리사업소,38557,2021-06-25,25,2021
부산광역시 해운대구,관광시설관리사업소,44307,2021-06-26,26,2021
부산광역시 해운대구,관광시설관리사업소,55938,2021-06-27,27,2021
부산광역시 해운대구,관광시설관리사업소,42553,2021-06-28,28,2021
부산광역시 해운대구,관광시설관리사업소,36234,2021-06-29,29,2021
부산광역시 해운대구,관광시설관리사업소,41856,2021-06-30,30,2021
부산광역시 해운대구,관광시설관리사업소,36847,2021-07-01,31,2021
부산광역시 해운대구,관광시설관리사업소,37513,2021-07-02,32,2021
부산광역시 해운대구,관광시설관리사업소,28460,2021-07-03,33,2021
